"Status_Checking_Acc","Duration_in_Months","Credit_History","Savings_Acc","Purposre_Credit_Taken","Age","Property","Default_On_Payment","Duration_Monthwise","Duration_Dummy","Account_Status","Cedit_History_Dummy","Purpose_for_Credit","Savings_Acc_Dummy","Property_Dummy","Default_On_Payment1","predicted"
"A14","27","A32","A61","A40",21,"A121",1,"20to40",2,4,2,0,0,1,"1",0.200651546921311
"A11","12","A34","A61","A43",58,"A121",0,"lessthan20",1,1,4,3,0,1,"0",0.203130284845273
"A12","13","A34","A61","A43",23,"A121",0,"lessthan20",1,2,4,3,0,1,"0",0.18674183419862
"A14","24","A32","A61","A40",31,"A121",0,"20to40",2,4,2,0,0,1,"0",0.179937821785999
"A11","24","A32","A61","A40",27,"A122",1,"20to40",2,1,2,0,0,2,"1",0.627714758612768
"A11","10","A32","A61","A43",52,"A121",0,"lessthan20",1,1,2,3,0,1,"0",0.364227911448219
"A11","11","A34","A61","A40",40,"A121",0,"lessthan20",1,1,4,0,0,1,"0",0.250995585288351
"A14","24","A34","A62","A43",52,"A122",0,"20to40",2,4,4,3,1,2,"0",0.074479432635037
"A12","18","A32","A61","A43",25,"A121",0,"lessthan20",1,2,2,3,0,1,"0",0.316658343806951
"A14","12","A32","A63","A40",26,"A122",1,"lessthan20",1,4,2,0,2,2,"1",0.110908966391175
"A14","12","A32","A63","A42",29,"A123",1,"lessthan20",1,4,2,2,2,3,"1",0.13198716769262
"A11","12","A32","A61","A43",40,"A121",0,"lessthan20",1,1,2,3,0,1,"0",0.402367452601829
"A11","24","A34","A62","A49",26,"A121",0,"20to40",2,1,4,9,1,1,"0",0.317371240308759
"A14","12","A34","A61","A46",49,"A121",0,"lessthan20",1,4,4,6,0,1,"0",0.0472798837868118
"A11","12","A32","A61","A42",55,"A124",0,"lessthan20",1,1,2,2,0,4,"0",0.54755587032909
"A14","15","A32","A63","A42",20,"A123",0,"lessthan20",1,4,2,2,2,3,"0",0.14648822252641
"A12","48","A30","A61","A410",32,"A122",1,"morethan40",3,2,0,10,0,2,"1",0.722485634341095
"A11","36","A34","A61","A42",46,"A122",0,"20to40",2,1,4,2,0,2,"0",0.381504329546974
"A12","15","A33","A64","A45",61,"A122",1,"lessthan20",1,2,3,5,3,2,"1",0.115291040359433
"A11","12","A31","A61","A40",46,"A123",1,"lessthan20",1,1,1,0,0,3,"1",0.607798162891608
"A12","24","A33","A65","A40",42,"A123",0,"20to40",2,2,3,0,4,3,"0",0.224871729369773
"A11","18","A32","A61","A43",26,"A121",1,"lessthan20",1,1,2,3,0,1,"1",0.448371656224298
"A14","15","A32","A65","A42",33,"A121",0,"lessthan20",1,4,2,2,4,1,"0",0.0524229171521853
"A13","24","A32","A62","A43",47,"A124",0,"20to40",2,3,2,3,1,4,"0",0.34759733814879
"A11","48","A30","A61","A42",53,"A124",1,"morethan40",3,1,0,2,0,4,"1",0.864338154032559
"A14","12","A34","A65","A43",38,"A121",0,"lessthan20",1,4,4,3,4,1,"0",0.0240953361896996
"A13","10","A34","A65","A43",27,"A122",0,"lessthan20",1,3,4,3,4,2,"0",0.0618777013606063
"A12","8","A32","A61","A49",26,"A121",0,"lessthan20",1,2,2,9,0,1,"0",0.300410478006185
"A12","21","A34","A61","A49",27,"A122",0,"20to40",2,2,4,9,0,2,"0",0.293989966254174
"A14","18","A32","A61","A42",47,"A124",0,"lessthan20",1,4,2,2,0,4,"0",0.193459261347845
"A12","18","A32","A61","A41",38,"A124",1,"lessthan20",1,2,2,1,0,4,"1",0.463714005211242
